FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
79	158	237	383	478	21	77	166	51	546	688	6	31	275	152	20	142	0	146	103	92	318	29	202	401	335	24	177	466	65	493	556	362	3	229	429	418	231	499	4	201	42	259	74	224	139	419	530	813	142	198	21	218	183	11	502	53	248	72	163	267	30	484	823	560	237	113	356	161	68	354	124	293	143	805	75	166	247	11	357	728
77	17	2	0	144	4	0	0	5	8	30	11	2	0	16	4	17	0	0	0	0	0	51	8	96	0	0	2	8	4	3	2	31	0	0	17	92	3	0	23	0	16	2	0	0	4	43	3	20	0	2	8	11	88	0	21	0	17	43	6	7	12	0	3	18	0	36	29	77	6	56	0	149	7	160	3	0	6	2	14	35
59	7	11	4	0	4	5	1	1	4	14	2	1	7	11	0	7	6	8	17	3	9	12	11	25	29	3	24	7	1	7	4	35	20	2	26	23	2	28	11	8	5	11	13	3	5	35	2	61	0	10	8	0	68	7	13	25	12	15	3	1	0	13	11	14	5	0	12	12	4	19	6	50	7	19	18	19	7	4	43	142
52	6	22	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	14	2	2	0	3	3	0	0	0	0	0	15	1	11	20	2	0	3	47	1	0	1	24	0	0	1	0	0	0	0	40	1	1	0	1	20	0	8	38	11	8	0	3	0	8	44	0	0	0	0	0	5	6	0	12	0	22	0	7	21	4	13	78
48	8	0	4	22	0	0	0	3	42	0	0	0	0	5	0	0	83	0	2	2	0	3	18	22	73	0	35	13	2	0	2	2	0	0	0	35	0	14	2	25	0	2	0	0	0	1	0	37	0	0	2	0	17	2	44	24	7	0	2	0	2	0	0	0	3	0	0	97	2	22	22	174	0	0	4	24	4	0	102	69
48	53	0	0	0	13	10	4	12	0	0	4	11	0	7	15	14	25	0	45	12	15	0	13	7	0	9	0	0	14	8	16	0	31	0	23	20	6	15	3	23	6	13	5	11	3	24	8	33	0	10	17	0	11	0	0	18	8	13	8	13	7	14	17	23	5	0	0	0	15	13	0	33	12	29	0	19	14	5	43	61
42	39	10	24	0	29	0	0	0	0	0	8	0	35	1	2	13	0	0	72	0	0	0	0	0	24	20	0	0	0	36	0	0	16	0	4	62	4	0	104	8	25	6	3	0	24	0	0	11	0	0	0	0	2	0	0	30	41	25	0	27	0	5	10	19	0	1	0	2	9	20	0	0	35	0	8	53	54	15	2	51
41	82	12	39	7	81	8	41	49	143	21	28	3	157	20	42	10	8	0	45	5	102	0	2	13	0	35	94	9	8	23	17	22	45	21	5	94	9	24	62	47	50	1	0	15	22	6	12	11	30	24	58	9	7	18	116	29	11	10	10	10	31	0	20	76	48	5	28	0	117	10	11	13	20	9	87	6	15	15	74	71
41	0	10	9	0	100	0	6	7	0	34	29	26	40	0	64	0	0	18	57	5	6	0	0	0	3	30	0	0	29	0	0	0	0	0	1	23	21	0	9	0	15	13	0	24	0	0	0	0	21	20	0	34	0	55	0	0	53	0	0	5	135	23	0	0	24	4	0	0	0	50	0	86	3	0	11	0	7	129	35	0
39	0	10	12	0	16	0	0	42	82	0	0	9	30	9	5	3	0	23	0	0	0	27	0	0	0	25	67	66	49	8	5	0	19	16	8	11	0	0	9	5	38	0	0	14	5	33	7	6	9	3	22	16	25	21	18	12	0	0	0	0	13	3	8	58	6	2	46	30	32	13	41	24	0	21	0	13	8	2	15	17
