M6	M7	A10	A1	C12	A8	C4	M10	C10	C7	A4	A9	M5	A15	M4	C6	C11	C9	M3	A5	A18	M9	A16	C3	A6	A7	M1	A17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0
0	0	0	0	3	0	1	0	2	2	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	0	0
0	0	0	0	0	0	1	0	4	1	2	0	0	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0
0	2	2	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	4	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	2	1	3	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0
7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
0	0	1	2	2	0	0	0	12	1	1	0	0	3	0	0	2	2	0	2	0	0	0	1	2	0	0	0
0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	9	0	0	0	0
7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	0	0	6	0	0
0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0
0	0	0	1	0	0	6	16	0	1	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0
0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
0	1	1	0	0	18	0	0	0	0	0	3	2	1	0	1	0	0	0	0	1	0	3	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
0	0	0	2	0	0	4	6	0	0	52	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
3	1	8	8	0	177	1	16	28	1	0	2	5	6	350	16	44	6	1	84	9	28	46	13	0	19	55	12
25	18	351	19	0	0	71	57	2	45	21	0	6	1	65	29	1	4	117	2	0	26	6	11	9	12	0	87
0	0	0	0	1	0	1	0	5	0	3	0	0	3	0	0	1	1	0	0	0	0	1	1	1	0	0	0
17	27	14	9	0	235	69	29	3	9	15	0	31	5	170	13	9	25	74	42	20	5	22	18	12	30	0	20
0	132	0	23	0	0	0	101	55	23	7	0	80	21	0	55	0	1	204	95	0	105	36	0	1	4	0	0
0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	3	1	0	0	1	0	0	3	0	1
0	6	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0	0	0	0	1	0	1	0	5	0	1	0	0	2	1	0	3	0	0	0	0	0	0	1	1	0	0	0
0	0	0	0	3	0	2	0	2	2	0	0	0	2	0	0	2	2	0	1	0	0	0	1	0	0	0	0
0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0
6	0	0	1	0	9	0	0	0	0	3	0	0	0	0	3	1	6	0	0	0	1	12	3	0	0	100	2
0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0
0	0	0	2	0	0	1	0	1	1	1	0	0	3	1	0	1	3	0	0	0	0	1	0	0	0	0	0
0	52	0	0	0	1	0	5	0	0	0	0	0	0	0	0	13	7	0	0	0	44	0	0	0	0	0	23
0	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	3	0	0	0	0
0	2	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	3	0	1	0	0	0	4	0	0	0	0
0	0	0	1	0	0	1	0	4	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	3	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	1	0	0	0	0
0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	14	1	3	0	0	0	1	7	0	1
5	0	2	0	0	2	1	1	1	1	0	2	1	2	0	2	1	1	0	1	1	1	3	1	2	1	0	1
0	0	0	3	2	0	6	0	3	0	0	0	0	0	1	0	5	9	0	0	0	0	1	3	0	0	0	0
0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	1	0	0	0	0	0
7	4	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0
0	0	0	0	0	16	0	13	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0
0	0	17	0	0	0	0	1	0	0	5	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0
0	0	0	0	1	0	2	0	2	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	2	0	1	0	0	0
0	3	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	1	6	0	1	15	1	0	8	2	2	1	16	2	16	0	11	7	10	4	0	0	5	3	6	1	0	0
0	0	0	1	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	3	0	9	1	6	4	0	0	0	58	0	0	0	0	0	1	30	16	3	2	0	9	0	0	0
0	0	0	0	0	0	81	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
8	5	1	16	0	0	3	6	2	4	0	0	0	0	0	1	14	1	7	22	7	0	19	6	14	1	0	0
0	0	0	1	1	0	0	0	2	1	1	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0
0	0	0	0	2	0	1	0	2	0	1	0	0	1	0	0	1	3	0	0	0	0	1	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	0	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	43	1
0	0	0	1	2	0	0	0	4	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	10	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	10	0
0	0	0	1	0	0	1	0	1	2	2	0	1	2	2	0	1	0	0	0	0	0	0	0	1	2	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0
0	6	1	0	0	2	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	3	0	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	6	0	0
0	3	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0
1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	5	2	1	0	0	1	0	0	0
1	0	0	0	0	0	1	5	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	0	0	0	1	4	0
0	0	0	3	6	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	1	2	0
0	0	0	0	1	0	2	0	3	1	2	0	0	23	0	0	0	1	0	0	0	0	0	3	0	0	0	0
4	6	4	1	0	0	0	3	0	0	0	0	1	1	0	6	0	0	0	0	3	1	0	0	0	0	0	8
0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	19	4	1	0	4	1	0	0	2	0
0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
0	0	0	0	0	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	2	0	9	0	0
5	0	0	0	0	27	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
1	3	2	0	0	2	0	18	0	0	0	3	0	0	0	0	0	0	0	2	3	1	0	0	1	0	0	0
0	1	0	4	1	0	0	0	1	0	5	0	2	3	0	0	0	0	1	7	0	0	2	0	4	0	0	4
4	1	1	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	4	0	1	0	0	0	2	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	1	1	0	0	0	0	0	1	2	0	0	0
0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	3	0	0
0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	5	0	21	0	3	14	15	4	3	0	15	0	0	4	2	0	5	0	2	0	4	6	1	1	0	4
0	0	3	0	0	0	0	1	0	0	7	0	29	19	0	0	1	19	0	0	0	0	0	1	3	2	0	0
0	0	0	36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	52	0	3	11	0	0	0	2	0	1	0	0	0
14	26	2	4	0	0	0	17	0	0	0	0	0	2	0	3	0	0	9	1	2	3	1	0	23	6	0	6
28	17	0	43	19	8	32	18	11	28	16	0	34	36	0	30	7	34	27	110	1	9	54	12	15	8	0	41
17	0	0	0	0	35	1	2	1	0	0	165	9	0	2	89	2	1	71	1	0	285	0	0	0	4	0	0
0	0	0	733	1296	0	1431	0	2627	1002	965	0	35	2515	465	1	1083	2571	0	452	0	0	781	1309	764	0	0	0
540	654	478	86	32	436	72	295	198	146	27	705	327	87	20	57	21	42	330	486	406	174	41	45	227	59	789	409
815	525	664	308	5	184	94	145	102	0	67	209	231	78	113	365	1	4	0	56	238	244	2	61	118	46	1	952
326	213	255	19	23	139	58	710	193	43	22	242	110	46	453	55	150	0	112	299	576	259	3	80	67	19	4	0
23	251	0	13	1	0	0	2766	94	75	3	0	6	0	0	0	1	0	60	123	1	575	0	1	0	126	0	346
351	398	0	98	14	52	60	508	28	181	15	5	81	58	0	371	3	27	414	475	573	467	20	2	55	17	0	99
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	4	1	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	2	0	0	0	1	0	0	2	0	0	1	0	1	5	12	0	0	10	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
1	0	0	0	0	9	0	0	0	0	0	18	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0
0	0	2	1	0	0	0	1	0	0	0	0	3	0	0	0	0	2	4	21	0	1	3	0	2	1	0	0
0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	6	0	25	0	0	0	0	0	0	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0
0	0	0	2	2	0	1	1	1	0	2	0	13	2	0	0	0	6	0	3	0	1	0	2	0	2	0	0
0	5	3	2	0	4	0	4	0	0	0	1	1	0	0	1	0	0	0	0	1	3	0	0	0	5	0	8
0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0	0
