029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
0	0	0	0	24	35	0	0	0	0	0	0	0	0	22	27	0	2	0	11	0	0	0	0	29	0	6	0	0	0
0	0	10	0	44	18	1	0	0	4	0	0	7	3	0	7	2	19	0	36	0	0	0	0	0	1	4	14	9	0
0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0
0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0	0	0	0
0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14	0	4	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	13	0	0	0	0	4	0	1	0	1	0	0
0	1	11	3	0	0	4	4	6	0	6	32	0	6	0	0	0	0	17	0	0	14	38	14	0	10	0	4	0	14
0	0	3	1	42	2	0	0	0	0	0	8	5	0	0	0	10	7	0	53	0	6	0	22	1	0	11	0	18	0
0	11	5	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	93	5	0	3	0	58	0	0	0	0	3	0
0	0	0	0	180	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	5	1	0	0	0
1	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	18	0	0	0	1	0	1	0	0	2	0	1	0
