Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
1	0	0	0	0	0	0	0	0	0	0	0	5	4	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	6	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0	0	0	0	0	35	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2	0	9	1	0	0	21	0	9	1	0	0	18	1	5	32	7	1	33	0	39	5	24	33	16	0	9	5	28	10	0	0	31	19	4	0	0	4	4
0	0	33	18	0	0	0	2	0	0	0	0	2	25	3	0	5	0	3	0	2	5	0	5	0	2	0	6	5	6	0	2	3	3	2	4	0	9	0
0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	6	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	3	0	0	3
5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
7	0	0	2	37	102	60	0	18	62	18	0	16	0	17	115	0	30	105	7	73	0	69	15	16	30	18	38	56	0	11	18	78	24	5	6	0	0	5
0	0	3	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	6	4	0	0	0	0	5	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
20	0	15	1	2	6	0	3	0	3	4	0	16	8	2	0	0	0	0	0	0	0	2	37	0	4	0	7	0	0	8	0	1	14	6	35	0	0	0
21	0	2	9	0	0	0	0	0	0	5	0	4	12	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
13	0	0	0	2	0	0	0	0	0	0	0	21	0	13	8	0	19	0	0	0	0	2	21	0	0	0	2	0	0	0	0	0	13	19	13	0	0	0
2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	10	2	7	0	0	22	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	17	0	3	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	8	2	4	0	2	0	4	0	0	0	2	0	0	0	5	0	3	0	4	0	0	0	0	13	0	0	2	0	2	3	0	0	0	0	0
0	0	0	0	8	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	2	3	0	5	9	10	4	18	3	0	2	0	0	3	4	8	0	18	2	5	8	27	3	29	9	6	0	6	31	0	2	17	2	3	4	0	19	3
0	0	0	0	0	3	8	0	4	0	0	0	2	0	5	0	0	0	9	5	8	0	21	0	3	2	8	0	10	0	0	9	11	1	5	5	0	0	0
6	0	5	4	2	4	0	0	0	0	4	0	0	6	9	3	0	0	0	0	0	0	2	2	0	2	0	3	0	0	7	0	0	5	4	6	0	0	0
0	0	0	0	0	7	0	0	0	6	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	0	0	0	2	0
0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	2	2	0	0	0	1	0	29	0	1	3	1	19	1	3	0	0	0	0	2	13	2	0	0	3	0	0	38	0	0	8	2	3	0	3	0
0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	3	0	0	2	0	4	0	3	0	0	0	1	0	3	0	0	0	2	3	0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	5	0	12	4	4	0	7	0	1	0	5	0	3	0	2	2	7	0	3	4	0	7	0	2	0	0	7	0	0	0	4	3	6	2	0	2	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	11	0	0	0
3	0	0	0	0	0	8	0	0	0	4	0	5	0	3	0	0	7	5	0	9	0	6	6	0	4	2	0	5	0	8	0	7	4	3	6	0	0	0
0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	11	0	6	0	3	2	0	2	0	0	3	0	0	0	3	0	0	0	0	0	0
0	0	3	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	5	4	3	0	5	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	0
0	0	12	2	0	6	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
28	0	0	0	13	11	2	0	0	4	0	0	22	0	13	6	0	14	2	0	0	0	0	20	0	0	0	7	0	0	4	0	0	13	5	8	0	0	0
7	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	4	3	5	9	8	0	7	1	4	0	25	3	18	3	0	32	26	0	20	0	14	12	9	8	5	3	15	0	4	0	14	20	18	11	0	0	0
0	0	0	0	0	0	0	0	0	0	13	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	4	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4	0	20	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	0	4	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0
6	0	6	0	0	0	0	0	0	0	11	0	0	4	5	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	4	0	0	4	0	5	0	0	0
0	0	0	9	1	7	8	0	5	0	0	0	9	1	0	18	0	17	6	0	13	0	12	4	10	10	4	2	10	0	0	0	4	0	3	4	0	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	445	0	0	24	148	0	0	269	144	4	603	0	0	15	28	360	10	0	0	0	441	0	150	231	0	0	22	0	221	3	0	0	2	3	0	704	170	1342
0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	6	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	2	6	5	0	7	0	0	0	6	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	6	0	7	0	8	0	8	0	2	0	6	0	0	0	2	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	3	2	0	0	5	0	0	0	0	0	0	0
11	0	40	9	7	0	14	3	9	8	0	0	9	7	6	4	0	14	24	0	15	0	30	18	14	14	11	2	29	0	4	0	39	12	18	20	0	0	0
29	0	6	2	6	31	6	2	5	28	12	0	3	2	0	9	4	13	24	0	29	3	23	28	1	0	0	0	0	0	2	0	19	2	6	7	0	5	2
0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	2	0	4	0	2	0	0	0	0	4	0	0	11	4	2	0	0	0	4	0	2	2	0	0	0	0	3	0	0	2	0	0	2	0	4	2
25	0	0	0	9	8	58	0	38	6	7	0	8	0	28	25	0	12	68	0	64	0	87	41	39	52	16	4	72	0	4	4	55	15	13	20	0	0	0
57	2	56	3	89	0	0	10	0	0	143	0	19	6	26	0	2	17	0	0	0	2	0	70	0	0	0	64	2	8	98	0	0	32	14	24	3	10	2
0	0	0	5	4	2	1	0	0	0	3	0	6	0	5	0	0	7	7	0	0	0	4	3	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
0	0	3	0	9	5	0	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	8	0	9	0	0	0
3	0	3	0	29	4	0	0	0	5	11	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0	0	3	0	0	3	0	2	3	2	0	9	0	14	0	0	5	0	0	5	0	0	10	0	6	2	0	0	0	3	0	3	7	5	4	0	0	0
0	0	2	0	2	12	0	0	2	7	0	0	0	0	0	7	8	0	3	0	5	8	3	0	0	0	0	0	0	0	0	7	4	3	0	2	0	0	0
6	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
8	0	0	0	0	8	5	0	5	10	0	0	12	0	12	14	0	35	7	2	13	0	23	22	10	6	2	0	5	0	0	3	10	11	5	25	0	0	0
0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
2	0	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	3	7	0	6	0	9	0	0	6	0	0	5	0	0	0	9	0	0	0	0	0	0
4	0	0	0	9	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
33	0	12	2	18	2	0	3	0	5	14	0	12	3	13	5	0	4	5	0	0	0	2	39	2	0	0	11	2	0	15	0	2	16	4	4	0	0	0
0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	6	0	0	0	5	0	0	0	0	0	0
3	0	0	2	0	5	0	0	2	3	0	0	3	0	7	0	0	0	0	0	0	0	2	9	0	0	0	0	2	0	2	0	2	0	4	2	0	0	0
2	0	4	0	0	0	13	0	18	2	0	0	0	0	4	0	12	0	24	15	16	15	20	0	6	17	3	0	11	6	0	24	27	0	0	0	0	7	0
3	0	3	0	0	0	2	0	4	0	0	0	0	0	2	0	2	4	9	3	6	2	2	0	1	2	0	0	7	0	0	7	3	0	0	0	0	0	0
0	0	0	0	0	4	0	0	0	2	0	0	0	0	18	2	0	0	34	0	23	0	16	0	0	2	2	0	0	0	2	2	2	34	0	0	0	0	0
0	0	0	0	0	0	3	0	28	0	0	0	0	0	0	2	3	0	10	0	9	8	6	2	8	4	0	0	6	8	0	0	5	0	0	0	0	3	0
0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	2	0	12	0	15	4	10	0	15	7	2	0	6	0	0	0	14	0	0	0	0	0	0
0	0	0	0	2	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
18	0	0	0	0	198	3	0	0	135	0	0	24	2	2	354	0	12	4	0	0	0	8	18	2	6	2	0	5	2	0	0	8	0	2	7	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0
0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	40	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	2	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	2	2	0	0	0	0	2	0	0	0	16	0	0	0	0	2
0	0	22	6	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	29	0	8	0	2	0	21	0	26	10	0	14	28	0	32	0	31	13	12	16	10	0	22	0	8	0	31	53	24	32	0	0	0
0	0	0	0	3	0	2	0	3	0	0	0	0	0	0	0	0	2	2	3	0	0	2	0	0	0	0	0	0	0	4	0	3	0	5	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	5	0	2	4	0	0	2	0	0	0	0	0	2	0	0	0	0
0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0
52	0	0	0	0	2	0	0	4	3	0	0	33	0	68	2	0	46	0	0	0	0	2	62	0	0	0	0	0	0	4	0	0	85	16	34	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	6	0	0	2	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
0	0	9	0	0	2	0	3	2	0	0	0	3	8	2	0	0	0	4	4	1	0	7	0	0	2	0	0	3	0	0	0	0	4	0	2	0	0	2
4	0	0	0	0	1	9	0	7	1	0	0	20	0	11	4	0	16	15	0	7	0	18	5	3	1	4	0	11	0	0	0	11	9	16	16	0	0	0
2	0	10	2	0	9	21	0	19	4	0	0	2	2	2	0	13	2	22	17	15	14	21	0	9	12	2	0	18	9	0	31	16	0	0	0	0	13	0
23	0	0	0	0	2	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	7	0	0	2	9	8	0	8	0	6	5	0	9	0	0	0	0	3	6	0	0	0	0	0	0	2	0	0	3	3	7	0	0	0
0	0	2	0	3	23	2	0	1	17	0	0	1	0	0	21	0	0	6	0	0	0	6	0	2	4	2	0	3	0	0	0	3	5	0	0	0	0	0
0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	5	1	0	0	0	7	2	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	2	0	3	0	6	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	3	0	0	39	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0	3	7	3	0	1	0	2	0	0	0	3	0	0	14	4	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	2	0	3	0	0	3	0	3	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	6	0	5	1	11	0	4	3	2	0	3	1	0	0	10	0	0	0	0	1	0
0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	0	0	0	0	0
17	0	4	1	6	0	0	0	0	3	3	0	5	1	2	12	0	0	0	0	0	0	0	14	0	0	0	6	0	0	0	0	0	12	9	1	0	0	0
2	0	0	0	4	0	0	0	0	0	12	0	0	0	2	3	0	3	0	0	2	0	0	7	0	0	0	2	0	0	31	0	0	8	2	0	0	1	0
0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	5	0	0	7	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	0	4	0	0	0	0	0
0	0	0	0	22	0	2	0	3	5	22	0	2	0	5	15	2	9	1	0	3	0	0	0	0	0	2	58	0	0	17	0	1	7	2	4	0	0	0
13	0	0	0	4	112	2	0	0	33	21	0	34	0	5	243	0	28	9	0	4	0	0	35	0	3	0	8	4	0	17	0	1	0	4	0	0	0	3
16	0	6	5	2	0	0	0	2	0	3	0	5	2	17	6	0	2	0	0	0	0	3	22	2	2	0	2	2	0	4	0	0	14	6	14	0	0	0
1	0	10	0	2	26	8	8	0	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	7	0	0	2	0	2	0	14	4	5	0	5	1
5	0	6	5	23	26	0	3	0	21	5	0	15	6	13	7	0	13	3	0	0	0	0	7	0	0	0	16	0	0	0	0	3	7	3	8	0	0	0
0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	245	17	633	419	15	66	21	612	835	7	9	52	262	198	21	27	81	0	41	15	74	51	4	33	21	426	135	84	779	0	73	268	374	373	0	77	10
2	0	0	2	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	3	0	0	0	5	0	0	0	3	0
5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0
0	0	0	0	0	0	4	0	12	4	0	0	0	0	0	0	0	0	10	0	12	0	6	0	7	11	3	0	16	0	0	3	8	0	0	0	0	0	0
0	0	2	0	0	5	1	0	8	0	0	0	0	0	0	0	0	3	5	0	11	0	7	0	2	5	2	0	5	0	0	3	7	4	0	0	0	0	0
0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	2	2	2	0	0	0	4	0	0	0	3	0	2	0	0	0	0
0	0	0	0	0	4	0	0	0	0	4	0	6	0	0	1	0	4	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2	3	2	0	0	0
42	9	91	22	391	753	353	40	102	430	179	10	389	28	960	479	0	266	459	24	514	0	821	67	105	388	228	254	532	0	153	33	502	1233	724	964	17	0	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0
0	0	4	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	3	3	9	0	5	0	0	0	2	0	1	0	0	5	4	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0	0	1	0	0	0	1	0	3	0	0	0	0	0	4	0	0	2	0	0	0	2	3	0	7	0	2	0	0	0	0	0	7	0	0	4	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0
4	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
17	0	0	0	2	352	0	0	2	201	8	0	18	0	21	94	0	6	15	0	12	0	13	18	6	12	3	4	16	0	7	0	3	19	3	3	0	0	0
0	0	25	9	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	1	5	0	20	77	5	47	14	3	1	31	12	24	16	11	40	52	16	66	4	72	0	37	51	19	0	74	27	0	23	57	67	12	17	0	24	6
0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
0	0	4	1	0	2	0	0	2	0	0	0	0	0	4	0	2	0	1	0	0	5	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	4	6	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
3	0	0	0	0	4	2	0	7	0	0	0	0	0	0	2	5	0	0	0	2	10	0	2	9	3	0	0	2	6	0	0	0	0	0	0	3	1	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	1	1	0	0	0	0	0	18	0	5	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	12	0	0	1	2	0	0	1	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	3	0	0	0	0	3	0	0	0	2	0	0	2	42	0	2	0	0	47	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	39	0
2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0
2	0	0	0	2	0	0	0	0	0	0	0	4	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	2	0	0	0
2	3	35	2	16	3	23	0	36	5	13	3	10	4	42	14	17	0	47	2	47	7	35	0	32	27	4	26	44	0	5	0	56	48	20	31	0	0	2
6	0	3	0	0	4	21	0	29	0	0	0	5	2	5	4	5	0	32	3	27	14	52	7	19	31	6	0	28	21	0	9	23	2	0	3	2	17	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	8	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0
0	0	3	0	8	0	0	0	0	3	3	0	3	0	2	0	0	2	0	0	0	0	0	8	0	0	0	12	0	0	2	0	0	4	0	0	0	0	0
0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	4	0	0	9	0	5	0	5	5	4	10	4	0	10	0	0	0	12	0	0	0	0	0	0
0	0	8	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	3	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0
8	0	0	0	2	0	0	0	0	0	3	0	2	0	2	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	9	0	0	4	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	169	0	0	0	0	0	0	0	2165	0	0	0	0	2	0	0	1568	0
3	0	0	0	0	0	0	0	0	0	4	0	0	0	16	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	8	3	0	0	0	0
0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	4	0	4	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3	0	0	0	0	0	8	0	7	1	6	4	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	11	3	15	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	13	21	4	0	11	0	9	0	2	0	6	0	0	40	8	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	2	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	0	0
0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
0	0	11	12	0	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	8	2	2	0	0	6	0	4	2	5	6	0	9	0	0	3	0	0	11	0	0	0	0	0	0	0	0	2	6	3	3	0	0	0
