Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
0	0	2	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
7	0	2	0	0	2	0	0	0	6	0	0	0	2	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	3	1	1	0	0	0	0	0
0	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
5	0	0	0	5	0	0	0	0	3	2	0	3	0	5	0	0	7	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	4	0	4	0	0	0
9	0	2	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	3	17	5	10	0	16	0	10	12	2	0	14	2	0	4	11	0	0	0	0	3	0
2	0	0	0	0	14	8	0	24	6	0	0	0	3	0	0	0	0	29	13	23	0	36	0	19	20	5	2	29	7	0	26	26	0	0	0	0	1	0
0	0	7	2	0	0	4	0	4	0	0	0	2	0	3	0	0	0	3	0	3	0	5	0	4	0	2	0	0	2	0	0	0	2	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	2	0	2	0	7	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	3	3	14	0	9	0	1	2	0	0	7	2	7	2	0	0	0	0	7	0	17	73	0	3	3	0	3	0	0	0	8	9	2	18	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	5	0	2	0	2	0	0	0	0	0	2	3	0	0	0	0	0
24	0	53	19	4	33	5	8	0	43	2	0	27	21	18	19	0	26	11	7	6	2	6	29	2	6	2	0	11	0	5	2	0	29	14	22	0	0	0
0	0	10	5	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	7	0	0	0	6	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	2	0	4	0	0	0	0	0	0	0	0	7	0	2	6	0	3	0	6	4	4	4	2	0	8	0	0	0	2	2	0	0	0	0	0
0	0	0	0	0	5	2	0	0	0	0	0	0	0	2	4	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	3	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	12	1	0	0	0
17	0	2	0	4	18	50	0	16	21	5	0	18	4	1	82	0	10	83	0	59	3	109	18	13	52	14	3	52	0	0	0	79	5	2	5	0	0	0
0	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	8	0	0	0	17	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	4	0	0	6	0	0	0	9	11	0	11	0	19	5	0	8	4	0	4	0	0	18	0	0	0	0	0	0	0	0	0	15	18	18	0	0	0
8	0	0	0	18	9	0	0	0	9	0	0	7	0	0	8	0	3	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	4	0	2	0	0	0
0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0	1	3	0	0
0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	83	11	0	0	2	13	3	3	0	0	0	14	3	0	9	0	6	0	3	10	4	4	0	2	0	0	1	13	0	2	0	0	0	0	0	10	0
2	0	1	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	2	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
0	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	2	0	0	2	2	0	0	2	0	0	0	0	0	0
4	0	0	0	0	4	0	0	0	1	0	0	6	0	5	1	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	2	3	4	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	0
0	0	0	0	0	0	12	0	8	1	0	0	0	3	0	0	0	0	8	0	12	2	12	2	4	0	2	0	7	0	0	0	0	0	0	0	0	0	0
44	0	3	0	11	1	0	0	0	0	3	0	1	0	22	6	0	0	0	0	0	0	0	35	0	0	0	8	0	0	7	0	0	21	0	0	0	0	0
0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	4	0	0	2	2	0	2	0	0	7	2	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	21	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
