10251.E.B.3.1W	10251.E.LC.3.1W	10251.E.CS.3.1D	10251.E.B.1.3D	10251.E.LC.1.3D	10251.E.CS.1.3W	10251.E.CS.1.2D	10251.E.LC.1.2W	10251.E.B.1.2W	10251.E.CS.2.1W	10251.E.LC.2.1D	10251.E.I.1W	10251.E.B.2.1D	10251.E.B.2.1W	10251.E.I.1D	10251.E.CS.2.1D	10251.E.LC.2.1W	10251.E.B.1.2D	10251.E.CS.1.2W	10251.E.LC.1.2D	10251.E.LC.1.3W	10251.E.CS.1.3D	10251.E.B.1.3W	10251.E.LC.3.1D	10251.E.CS.3.1W	10251.E.B.3.1D	10251.E.B.3.3D	10251.E.LC.3.3D	10251.E.CS.3.2D	10251.E.LC.3.2W	10251.E.B.3.2W	10251.E.I.2W	10251.E.B.2.2D	10251.E.LC.2.2D	10251.E.CS.2.2W	10251.E.CS.2.3D	10251.E.LC.2.3W	10251.E.I.3D	10251.E.B.2.3W	10251.E.B.1.1W	10251.E.LC.1.1W	10251.E.CS.1.1D	10251.E.LC.1.1D	10251.E.CS.1.1W	10251.E.B.1.1D	10251.E.B.2.3D	10251.E.I.3W	10251.E.CS.2.3W	10251.E.LC.2.3D	10251.E.LC.2.2W	10251.E.CS.2.2D	10251.E.B.2.2W	10251.E.I.2D	10251.E.B.3.2D	10251.E.CS.3.2W	10251.E.LC.3.2D	10251.E.LC.3.3W	10251.E.CS.3.3D	10251.E.B.3.3W
0	0	0	99	4	0	0	0	0	0	0	0	12	0	0	4	0	42	0	14	0	26	0	0	0	39	0	0	0	0	0	0	20	47	0	0	0	0	0	0	0	0	8	0	40	66	0	0	7	0	7	0	0	10	0	0	0	0	0
0	0	19	15	346	0	13	0	0	0	153	0	9	0	175	45	0	5	0	374	0	3	0	54	0	13	0	0	18	0	0	0	0	87	0	5	0	261	0	0	0	8	186	0	18	2	8	0	116	0	18	0	316	0	0	313	0	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	39	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	293	0	0	0	0	0	0	62	0	0	0	8	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	176	0	0	0	0	0
687	252	456	748	484	90	227	1194	184	298	654	0	494	50	52	683	368	518	78	530	616	233	461	573	31	404	594	1266	341	388	632	0	860	533	159	421	291	216	36	242	642	326	431	115	388	583	0	329	380	730	507	55	72	494	49	317	216	406	596
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0
0	64	0	558	101	1614	15	0	137	0	22	0	0	0	14	0	0	378	1651	89	0	97	280	0	0	0	0	43	0	30	0	0	0	36	0	0	0	0	0	197	0	130	60	1449	141	0	0	0	123	0	0	0	0	0	0	0	55	0	0
10	4	0	0	0	19	0	9	4	3	0	19	5	0	0	0	4	0	0	0	8	0	8	0	0	2	0	18	0	9	6	75	0	0	0	0	0	0	5	0	2	8	0	2	0	0	0	0	0	2	0	0	0	0	7	0	0	0	20
