SampleID	Groups
AUEP2AC	COLD
AUEP2AB	COLD
AUEP2AA	COLD
AUEP1BC	COLD
AUEP1BB	COLD
AUEP1BA	COLD
AUEP1AC	COLD
AUEP1AA	COLD
AUEP1AB	COLD
USCT1A	COLD
USCT1B	COLD
USCT1D	COLD
USCT1H	COLD
USCT1I	COLD
USCT1C	COLD
USCT1E	COLD
USCT1G	COLD
USCT1F	COLD
USNO2C	COLD
USNO2B	COLD
USNO2A	COLD
USNO2F	COLD
USNO2E	COLD
USNO2D	COLD
USNO1A	COLD
USNO1B	COLD
USNO1C	COLD
USOK06B	COLD
USOK06C	COLD
USOK06A	COLD
USFT1B	COLD
USFT1A	COLD
USFT1C	COLD
USFT2A	COLD
USFT2B	COLD
USFT2C	COLD
USOK05C	COLD
USOK05B	COLD
USOK05A	COLD
USOK02C	COLD
USOK02A	COLD
USOK02B	COLD
USOK01C	COLD
USOK01B	COLD
USOK01A	COLD
USOK04A	COLD
USOK04C	COLD
USOK04B	COLD
USRE9A	COLD
USRE9C	COLD
USRE9B	COLD
USOK10A	COLD
USOK10C	COLD
USOK10B	COLD
USOK03B	COLD
USOK03C	COLD
USOK03D	COLD
USOK03E	COLD
USOK03A	COLD
USOK03G	COLD
USOK03F	COLD
USOK03I	COLD
USOK03H	COLD
USOK03K	COLD
USOK03J	COLD
USOK03L	COLD
USRE1B	COLD
USRE1C	COLD
USRE1A	COLD
USRE5B	COLD
USRE5C	COLD
USRE5A	COLD
USRE3A	COLD
USRE3B	COLD
USRE3C	COLD
USRE4A	COLD
USRE4B	COLD
USRE4C	COLD
USRE2C	COLD
USRE2A	COLD
USRE2B	COLD
USRE7A	COLD
USRE7B	COLD
USRE7C	COLD
USKN2A	COLD
USKN1BB	COLD
USKN3C	COLD
USKN3A	COLD
USKN3B	COLD
USKN2C	COLD
USKN2B	COLD
USKN1BC	COLD
USKN1BA	COLD
USKN1AC	COLD
USKN1AB	COLD
USKN1AA	COLD
USRE6C	COLD
USRE6A	COLD
USRE6B	COLD
CNQD3AA	COLD
CNQD3AB	COLD
CNQD3AC	COLD
USHP1AA	COLD
USHP1AA2	COLD
USHP1AB	COLD
USHP1AB2	COLD
USHP1AC	COLD
USHP1BG	COLD
USHP1BE	COLD
USHP1AG2	COLD
USHP1AH	COLD
USHP1AF	COLD
USHP1AF2	COLD
USHP1AG	COLD
USHP1AC2	COLD
USHP1AD	COLD
USHP1AE	COLD
USHP1AE2	COLD
USHP1AD2	COLD
USHP1BG2	COLD
USHP1BI	COLD
USHP1BF2	COLD
USHP1BD2	COLD
USHP1BJ	COLD
USHP1BK	COLD
USHP1BC	COLD
USHP1BB	COLD
USHP1AJ	COLD
USHP1AI2	COLD
USHP1AI	COLD
USHP1AH2	COLD
USHP1BA	COLD
USHP1AK2	COLD
USHP1AK	COLD
USHP1AJ2	COLD
USHP1BF	COLD
USHP1BD	COLD
USFT4B	COLD
USFT4C	COLD
USFT4A	COLD
USFT3C	COLD
USFT3A	COLD
USFT3B	COLD
USRE8A	COLD
USRE8C	COLD
USRE8B	COLD
CNQD1C	COLD
CNQD1B	COLD
CNQD1A	COLD
CNQD4AA	COLD
CNQD4AB	COLD
CNQD4AC	COLD
CNQD2B	COLD
CNQD2A	COLD
CNQD2C	COLD
USFT5C	COLD
USFT5B	COLD
USFT5A	COLD
USJC2O	COLD
USJC1I	COLD
USJC1MA	COLD
USJC1MB	COLD
USJC1O	COLD
USJC2I	COLD
USJC2MA	COLD
USJC2MB	COLD
USKP1MA	COLD
USKP2M	COLD
USKP2O	COLD
USKP1I	COLD
USKP2I	COLD
USKP1MB	COLD
USKP1O	COLD
CNJN4B	COLD
CNJN4A	COLD
CNJN4C	COLD
CNJN2C	COLD
CNJN2A	COLD
CNJN2B	COLD
CNJN1B	COLD
CNJN1C	COLD
CNJN1A	COLD
CNJN3C	COLD
CNJN3B	COLD
CNJN3A	COLD
USVA3A	COLD
USVA3B	COLD
USVA3C	COLD
USVA2A	COLD
USVA2B	COLD
USVA2C	COLD
USVA5B	COLD
USVA5A	COLD
USVA5C	COLD
USVA4B	COLD
USVA4C	COLD
USVA4A	COLD
USVA1B	COLD
USVA1A	COLD
USVA1C	COLD
USVA6C	COLD
USVA6B	COLD
USVA6A	COLD
USVA7B	COLD
USVA7A	COLD
USVA7C	COLD
USVA8B	COLD
USVA8C	COLD
USVA8A	COLD
SKSW1A	COLD
SKSW1C	COLD
SKSW1B	COLD
USVA9C	COLD
USVA9A	COLD
USVA9B	COLD
SKGW1C	COLD
SKGW1A	COLD
SKGW1B	COLD
USSF4A	COLD
USSF4C	COLD
USSF4B	COLD
SKNJ1C	COLD
SKNJ1B	COLD
SKNJ1A	COLD
USSF3B	COLD
USSF3C	COLD
USSF3A	COLD
SKSN1B	COLD
SKSN1A	COLD
SKSN1C	COLD
USSF2C	COLD
USSF2A	COLD
USSF2B	COLD
