St.acute.LHM002.1.U	St.acute.LHM026.1.U	St.acute.LHM032.1.U	St.chronic.LHM004.1.U	St.chronic.LHM011.1	St.chronic.LHM021.1.T	St.chronic.LHM025.1.U	St.chronic.LHM028.1.U	St.chronic.LHM030.1.U	St.chronic.LHM031.1.U	St.chronic.LHM034.1.U	St.chronic.LHM035.1.U	St.chronic.LHM036.1.T	St.chronic.LHM037.1.U	St.chronic.LHM042.1.T	St.chronic.LHM045.1.T	ST.N.LHM049.1	St.neg.LHM001.1	St.neg.LHM013.1	St.neg.LHM019.1	St.neg.LHM027.1	ST.P.C.LHM048.1.T	ST.P.C.LHM052.1.U	ST.P.C.LHM062.1.U	ST.P.C.LHM063.1.T	ST.P.C.LHM065.1.T	ST.P.C.LHM069.1.U
67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	13	29	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	18	0	2	2	9	2
0	3	0	0	1	0	0	0	1	1	0	0	0	4	0	0	4	8	0	0	0	0	9	0	0	0	0
0	0	1	0	0	0	0	0	0	0	97	17	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0	0	43	16	12	50	3	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0
0	0	1	0	5	7	4	6	0	13	7	2	2	0	16	1	41	5	10	16	0	0	30	8	58	0	18
4	1	2	9	26	1	17	0	1	1	4	3	9	0	5	2	1	3	1	4	28	13	24	15	0	0	7
0	8	2	9	6	3	0	0	2	3	24	1	1	4	0	0	39	6	3	1	13	51	7	0	53	11	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	273	0	2	2	0
0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	58	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	3	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	6
0	0	0	1	2	0	0	19	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0
0	1	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
1	0	1	1	2	1	0	1	0	2	0	1	1	0	1	1	0	2	1	0	0	0	7	0	2	0	0
0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	3	6	0	0	0	3	0	2	3	2	4	1
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
2	0	1	1	0	1	0	1	0	0	4	0	2	0	0	3	0	0	1	0	0	0	2	4	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	1	2	1
0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	1
0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0
1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	1	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	5	0
0	0	0	0	0	1	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0
0	0	5	0	3	0	3	0	5	6	15	3	0	0	0	3	0	0	2	0	0	0	1	6	0	24	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	1	3	0	2	1	1	2	1	0	3	0	1	0	9	0	6	2	0	2	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	9	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	0	64	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
2	1	0	0	0	1	0	0	0	5	3	2	3	1	1	3	23	0	2	0	5	0	2	0	25	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	2	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	2	0	1	0
