Fr2018s068	Fr2018s037	Fr2018s078	Fr2018s057	Fr2018s047	Fr2018s076	Fr2018s014	Fr2018s024	Fr2018s027	Fr2018s044	Fr2018s035	Fr2018s036	Fr2018s013	Fr2018s025	Fr2018s065	Fr2018s004	Fr2018s017	Fr2018s077	Fr2018s046	Fr2018s052	Fr2018s022	Fr2018s019	Fr2018s039	Fr2018s059	Fr2018s061	Fr2018s020	Fr2018s023	Fr2018s015	Fr2018s049	Fr2018s043	Fr2018s051	Fr2018s055	Fr2018s002	Fr2018s021	Fr2018s026	Fr2018s018	Fr2018s038	Fr2018s060	Fr2018s005	Fr2018s048	Fr2018s045	Fr2018s003	Fr2018s071	Fr2018s072	Fr2018s050	Fr2018s007	Fr2018s070	Fr2018s058	Fr2018s010	Fr2018s006	Fr2018s054	Fr2018s053	Fr2018s008	Fr2018s009	Fr2018s056	Fr2018s001	Fr2018s011	Fr2018s034	Fr2018s016
0	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	6	0	0	0	2	4	2	0	0	4	2	0	0	0	30	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	0	0	0	12	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	31	0	32	0	0	0	0	0	0	42	0	1	0	1	507	0	0	0	295	56	0	0	41	3	0	0	0	0	0	0	0	0	30	1	0	0	0	11	0	9	0	0	0	1	2	0	30
0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
