79CMK8KO	97CHE6WT	27CMK6WT	23CMK6WT	41CMK8WT	105CHE6WT	63CMK8WT	89CHE6WT	55CMK8HET	67CMK8WT	115CHE6KO	11CMK6WT	84CHE6KO	77CMK8WT	83CHE6KO	73CMK8WT	8CMK6KO	66CMK8WT	6CMK6WT	52CMK8WT	29CMK6WT	93CHE6WT	74CMK8KO	81CHE6WT	92CHE6KO	99CHE6KO	60CMK8KO	114CHE6WT	103CHE6KO	33CMK6WT	4CMK6KO	24CMK6KO	44CMK8KO	64CMK8KO	21CMK6WT	86CHE6WT	88CHE6KO	13CMK6HET	47CMK8KO	40CMK6WT	57CMK8WT	76CMK8WT	90CHE6WT	104CHE6KO	59CMK8WT	111CHE6KO	51CMK8WT	75CMK8KO	35CMK6KO	112CHE6KO	9CMK6KO	65CMK8KO	78CMK8KO	100CHE6KO	1CMK6WT	16CMK6KO	61CMK8WT	95CHE6KO	72CMK8KO	28CMK6KO	110CHE6WT	7CMK6KO	43CMK8WT	38CMK6KO	53CMK8HET	107CHE6KO	20CMK6KO	39CMK6KO	48CMK8KO	87CHE6KO	22CMK6KO	36CMK6WT	69CMK8WT	91CHE6KO	37CMK6WT	2CMK6KO	80CMK8WT	19CMK6WT	15CMK6HET	49CMK8KO	45CMK8WT	3CMK6WT	42CMK8KO	12CMK6WT	96CHE6KO	54CMK8KO	106CHE6WT	30CMK6KO	32CMK6KO	5CMK6WT	62CMK8KO	94CHE6WT	71CMK8WT	10CMK6KO	56CMK8KO	50CMK8KO	116CHE6KO	101CHE6WT	58CMK8KO	46CMK8WT	82CHE6WT	68CMK8KO	18CMK6KO	98CHE6WT	108CHE6KO	109CHE6WT	34CMK6KO	85CHE6WT	14CMK6KO	102CHE6WT	113CHE6WT	26CMK6WT	25CMK6KO	17CMK6WT	70CMK8KO
107	111	119	501	1170	31	481	402	181	15	28	487	480	329	201	144	128	227	415	232	319	225	21	179	495	124	446	215	121	284	487	941	95	230	91	209	127	194	24	443	86	434	402	125	321	187	350	117	87	110	678	336	101	108	482	171	141	127	89	574	192	74	113	42	273	378	181	198	101	265	530	699	477	633	213	122	210	685	195	173	109	309	171	449	29	79	123	19	50	189	406	27	202	323	256	320	255	0	273	478	261	662	110	463	30	183	7	594	13	116	85	240	410	530	222
101	0	92	78	336	0	25	0	120	147	0	131	0	90	0	161	108	93	81	239	280	0	125	0	0	0	43	0	0	163	161	92	122	94	96	0	0	112	50	350	24	161	0	0	66	0	111	52	145	0	78	118	65	0	182	176	90	0	113	173	0	67	196	64	142	0	81	59	149	0	62	96	223	0	82	166	161	104	76	181	163	209	201	95	0	105	0	98	101	83	54	0	138	88	138	91	0	0	55	75	0	69	59	0	0	0	101	0	69	0	0	174	181	88	154
92	2	88	6	84	0	3	2	27	148	0	66	3	60	0	65	154	41	75	47	297	0	133	7	0	8	170	0	0	80	28	76	161	63	214	0	11	5	44	175	53	50	31	0	137	13	88	30	106	0	39	94	188	2	63	69	174	6	110	61	4	66	123	76	11	0	157	21	142	11	64	13	135	6	78	40	187	126	31	16	126	100	253	65	0	140	0	291	203	145	107	2	47	30	39	70	0	0	79	66	0	53	100	5	0	0	162	2	107	0	0	26	91	1	144
90	0	16	0	0	0	0	0	0	12	24	0	0	6	0	0	0	0	0	0	5	0	0	0	0	3	0	74	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	15	0	0	0	0	0	8	63	5	0	0	0	0	16	0	0	0	0	0	0	35	0	3	11	0	0	0	0	0	44	0	18	0	0	0	0	0	0	0	29	0	0	0	0	30	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
89	11	46	12	41	0	4	10	33	56	0	52	102	48	59	20	73	30	50	68	89	32	37	56	17	34	46	0	27	50	35	124	59	36	50	9	21	79	27	149	25	23	60	12	64	28	55	37	100	7	52	117	67	27	42	26	17	12	81	79	39	56	43	67	32	24	25	73	36	21	142	52	57	55	63	16	59	5	16	48	84	89	95	51	9	116	37	118	110	41	67	14	72	60	33	80	2	37	89	75	55	15	50	32	19	32	28	12	94	7	0	100	66	4	44
88	0	10	0	61	0	0	21	0	55	0	241	0	15	0	0	83	0	0	0	46	0	0	63	0	0	0	0	0	5	78	0	33	0	241	13	0	45	74	0	109	0	14	0	0	0	135	18	40	0	0	3	88	0	0	83	240	0	30	0	0	106	0	99	339	0	0	108	89	0	0	0	14	0	27	0	2	64	0	0	6	53	0	0	0	56	10	6	34	0	0	0	109	0	86	0	0	0	0	0	56	14	0	0	0	0	385	21	99	0	0	0	17	148	397
79	13	268	19	18	2	6	20	0	96	19	19	10	82	73	83	15	21	38	175	39	17	35	81	7	131	54	77	55	16	54	173	28	33	92	27	174	0	20	199	40	155	63	23	7	0	179	19	2	2	22	3	21	75	14	0	52	49	31	60	80	44	28	96	0	32	14	13	84	23	21	13	15	27	105	130	67	11	0	138	26	19	12	264	162	0	19	146	37	14	59	44	45	34	0	32	83	0	13	71	12	37	38	20	150	11	69	15	0	7	77	109	24	35	203
75	28	25	40	81	8	7	27	27	99	26	38	19	27	30	13	101	88	7	20	55	35	25	33	51	26	113	40	26	19	4	57	50	27	39	47	27	26	27	52	12	71	72	29	28	32	45	23	44	23	28	73	159	19	10	66	27	6	52	69	22	22	60	26	26	32	88	22	50	28	99	20	18	51	12	73	71	50	38	21	76	16	47	28	24	86	44	7	70	42	54	18	30	26	40	43	24	65	65	57	26	56	79	35	21	29	66	38	83	26	21	41	71	12	73
73	24	61	31	59	12	30	13	57	56	3	38	49	23	43	35	36	63	58	95	115	35	56	45	27	38	57	0	19	38	55	110	75	18	48	23	10	38	30	197	24	50	54	25	58	36	54	28	90	12	38	108	119	10	59	43	27	13	73	89	32	34	58	59	31	49	38	66	64	24	96	55	51	42	45	28	76	68	45	50	99	86	94	73	18	85	35	85	77	86	60	14	82	36	56	38	0	26	66	56	38	38	41	72	26	24	56	23	71	17	0	48	72	16	51
72	7	31	26	7	0	0	7	20	3	0	18	24	4	19	0	7	24	0	158	0	0	0	5	24	45	22	0	0	0	42	0	14	24	16	38	25	12	0	2	17	0	16	0	16	0	136	0	0	0	57	4	0	29	9	18	126	36	0	41	2	0	15	0	24	3	35	12	45	12	0	7	3	40	13	161	2	2	16	144	11	5	86	35	33	3	7	24	8	7	2	4	0	72	15	45	0	5	73	86	9	12	115	9	2	0	0	21	3	7	0	24	80	0	0
69	49	111	40	0	0	47	0	42	36	0	0	0	76	0	0	97	13	7	48	0	0	0	0	0	5	113	0	0	0	0	66	0	67	9	0	0	18	86	0	43	87	0	155	4	0	80	40	36	0	0	11	71	53	0	224	0	24	0	43	0	69	0	9	27	16	181	26	254	0	117	2	20	0	22	0	31	25	9	223	6	0	0	128	0	56	68	0	68	0	55	7	0	0	94	9	0	36	63	3	0	124	156	27	3	0	49	0	99	81	0	0	37	256	82
68	22	14	36	55	8	1	33	34	90	16	39	23	11	26	2	63	54	7	25	35	31	20	41	29	22	111	19	12	10	5	44	47	33	33	26	31	17	24	39	8	66	92	34	15	38	23	14	42	34	30	91	93	29	22	52	18	21	43	53	26	29	32	17	21	31	74	24	63	31	92	26	7	38	9	52	3	57	38	15	58	12	39	18	24	78	42	6	73	43	43	28	15	21	23	52	31	59	73	46	19	56	58	45	23	22	42	35	44	34	26	25	61	14	37
64	6	32	150	148	4	5	23	667	160	18	556	49	67	49	12	103	125	26	357	28	23	16	10	22	2	59	19	6	20	9	111	85	109	139	12	6	87	433	127	13	46	30	6	97	50	68	433	277	17	48	177	42	0	49	89	73	22	81	68	6	277	90	119	182	11	85	153	110	10	387	47	92	7	79	16	28	194	22	134	59	36	305	411	1	373	13	170	235	54	64	3	45	55	1033	183	5	9	203	10	25	154	38	8	35	19	64	38	348	9	28	108	99	90	22
57	0	8	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	5	0	0	0	0	5	0	6	0	0	2	0	0	138	6	0	0	10	18	3	0	0	0	0	106	0	113	0	0	0	0	0	5	0	8	0	0	45	0	7	17	113	0	0	7	1	0	0	78	3	41	0	4	19	9	0	0	18	0	29	36	0	3	0	2	0	0	154	0	6	0	1	0	12	0	0	11	3	14	3	0	0	12	10	0	0	0	34	34
55	0	3	0	0	0	0	0	0	15	156	0	0	3	0	0	0	4	0	0	0	0	0	0	0	5	0	242	45	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	76	0	0	0	0	0	8	70	26	0	0	0	0	14	0	0	0	0	0	0	123	0	7	11	0	0	0	0	0	56	0	8	0	0	0	0	0	0	0	110	0	0	0	0	24	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	46
54	0	28	18	0	0	3	0	9	12	16	44	0	16	0	83	9	3	66	15	24	0	0	0	4	0	21	13	0	0	22	8	45	0	39	0	0	11	8	2	15	6	0	0	10	0	102	3	2	0	23	0	2	0	26	35	59	0	7	9	0	11	3	3	3	0	15	24	47	0	7	5	0	0	57	1	19	5	8	27	8	0	8	84	0	18	0	7	7	2	0	2	0	12	18	5	0	0	8	8	0	7	39	0	2	0	24	0	18	0	7	16	24	62	24
53	32	114	23	126	13	32	31	48	99	1	28	0	22	0	55	27	58	31	101	142	52	76	0	36	19	80	0	10	28	52	70	100	52	25	28	9	22	10	254	40	69	30	47	97	42	83	23	46	21	74	72	144	10	139	30	40	7	123	126	4	20	104	29	46	55	80	34	69	31	63	81	27	22	28	35	120	134	47	21	133	117	60	69	23	54	59	26	33	115	24	28	114	13	89	15	4	18	38	41	0	56	24	73	44	16	76	38	53	14	2	24	104	20	62
48	0	25	2	31	0	0	0	8	71	0	32	0	12	0	40	48	25	23	13	155	0	40	0	0	0	43	0	0	59	1	33	37	14	58	0	0	1	7	57	9	22	0	0	59	0	23	12	38	0	8	12	59	0	31	14	44	0	32	21	0	31	19	16	5	0	43	6	50	0	15	11	48	0	35	13	42	50	10	10	32	26	71	7	0	55	0	83	59	38	19	0	15	12	8	8	0	0	16	20	0	8	30	0	0	0	62	0	33	0	0	15	13	1	34
42	0	0	0	0	0	0	4	0	0	0	0	0	10	0	3	1	0	0	2	36	0	0	2	0	24	0	0	3	0	25	0	0	0	9	5	3	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	31	12	42	10	0	5	1	0	0	0	0	7	0	4	0	3	0	3	0	0	0	0	39	0	32	0	0	0	0	3	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0
41	195	68	311	187	85	33	189	89	101	169	111	180	57	116	61	81	75	91	158	84	149	122	206	321	297	158	364	184	149	158	197	183	71	191	302	173	79	32	9	70	141	473	330	151	302	31	50	65	440	50	143	43	239	182	69	103	106	67	235	305	118	131	33	136	324	100	43	156	296	225	84	67	316	61	211	50	216	71	150	155	181	344	66	173	95	153	167	36	74	83	148	70	79	93	181	196	215	93	80	164	51	112	302	209	211	48	330	51	145	193	109	134	83	168
39	63	331	23	72	33	64	76	43	133	11	69	33	82	10	146	85	116	80	13	121	60	84	16	94	117	27	3	13	72	0	99	122	86	34	47	25	51	21	268	12	134	124	14	33	59	11	27	98	134	43	172	104	67	128	42	27	52	96	237	14	35	56	49	68	84	92	24	119	57	69	125	128	85	96	15	139	16	87	37	87	35	161	33	38	96	135	69	122	116	50	28	117	0	35	0	4	41	105	37	17	66	112	99	93	33	112	44	86	17	21	147	306	32	141
38	0	112	154	224	0	32	0	108	106	0	155	0	98	0	93	85	77	115	163	125	0	72	0	0	0	171	0	0	162	194	224	162	111	161	0	0	69	52	23	57	138	0	0	127	0	59	65	47	0	79	93	79	0	187	117	95	0	81	180	0	82	171	32	112	0	136	41	135	0	237	111	89	0	57	221	54	221	69	170	117	194	282	108	0	121	0	212	47	115	86	0	89	98	126	138	0	0	94	71	0	77	107	0	0	0	49	0	69	0	0	115	188	96	133
38	0	64	4	37	0	4	0	14	111	0	63	0	13	0	20	65	28	20	42	68	0	27	0	0	0	31	0	0	12	20	30	39	26	16	0	0	2	8	131	25	46	0	0	36	0	56	11	58	0	15	50	59	0	52	31	47	0	52	44	0	15	38	37	3	0	78	20	35	0	22	13	49	0	25	29	58	45	16	27	41	77	84	54	0	46	0	29	53	46	9	0	24	52	43	38	0	0	38	9	0	35	49	0	0	0	72	0	55	0	0	23	82	12	52
33	0	73	46	82	0	54	0	18	40	0	38	0	46	0	29	25	39	11	29	48	0	37	0	0	0	52	0	0	27	28	64	31	21	39	0	0	54	6	92	9	84	0	0	17	0	32	16	16	0	5	35	59	0	48	28	24	0	54	23	0	13	28	33	58	0	21	9	39	0	30	45	68	0	42	9	106	34	13	20	46	40	19	17	0	22	0	21	11	46	25	0	59	4	43	19	0	0	19	25	0	9	25	0	0	0	30	0	28	0	0	70	46	16	44
32	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	75	0	0	4	0	0	0	3	0	17	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	22	0	1	101	0	0	0	0	0	9	0	0	136	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	42	5
32	6	56	13	83	17	20	50	25	23	42	24	114	28	42	20	11	21	15	26	50	47	18	89	28	16	52	26	22	20	41	49	23	16	35	61	61	30	19	66	12	34	103	12	17	27	23	9	29	61	21	20	38	2	44	65	38	3	43	23	50	20	13	11	53	28	21	8	40	72	43	38	47	30	33	6	89	15	11	11	24	17	27	58	10	26	18	47	18	7	28	15	46	11	56	18	32	29	39	14	67	7	18	13	21	41	17	58	30	7	89	21	28	29	24
29	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	38	0	0	0	3	0	37	0	0	0	0	0	0	0	0	0	8	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	18	0	0	12	0	0	0	23	4	0	0	0	0	0	0	0	0	11	0	0	0	2	10	35	0	0	0	0	0	0	0	4	14	0	12	0	0	0	15	0	0	0	0	0	0	0
29	44	72	39	64	17	34	63	15	36	14	31	67	33	61	26	25	30	14	18	49	56	31	84	76	80	39	27	26	24	30	56	24	28	48	105	105	59	14	96	9	90	157	69	13	49	13	14	8	46	13	21	48	64	53	43	19	48	38	33	26	22	32	30	62	61	25	3	20	111	26	22	86	56	37	5	113	43	11	12	34	52	22	21	42	24	77	29	23	49	19	58	57	19	29	21	12	25	20	53	55	17	23	67	88	30	22	96	38	13	45	78	30	15	23
28	0	20	0	0	0	0	0	6	27	0	0	0	16	0	14	51	2	2	6	22	0	0	0	0	0	0	0	0	8	0	0	4	19	0	0	0	5	15	18	0	3	0	0	15	0	0	3	9	0	16	9	10	0	18	31	0	0	8	4	0	36	0	8	4	0	2	23	79	0	0	2	6	0	9	16	11	0	5	15	9	4	35	0	0	33	0	0	12	5	21	0	8	5	19	0	0	0	0	15	0	0	0	0	0	0	5	0	48	0	0	12	0	0	19
28	0	0	0	0	0	0	18	0	0	9	0	18	26	95	22	3	0	0	38	21	0	0	8	22	77	0	0	61	0	6	0	0	0	103	18	1	0	0	45	0	0	6	5	0	50	0	0	0	3	0	0	11	99	31	1	279	71	3	0	25	0	0	20	0	35	0	22	0	11	0	0	0	0	62	0	62	43	0	0	0	0	0	0	215	32	9	11	8	0	0	24	0	0	0	0	35	3	0	0	0	0	0	0	0	16	0	40	0	6	69	0	0	0	2
28	3	0	0	0	0	0	0	0	0	0	0	0	7	0	37	56	0	0	0	6	0	15	0	0	63	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	35	0	0	0	0	0	14	14	0	0	0	83	157	0	0	0	32	53	0	0	20	3	67	0	0	0	27	80	0	0	6	9	0	0	0	0	0	0	0	6	40	0	0	79	19	0	12	0	0	0	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	58	2	24	0	9	0	21	31	0	27	0	14	0	11	21	12	27	22	32	0	23	0	0	0	10	0	0	20	6	22	28	4	20	0	0	6	5	44	3	26	0	0	20	0	21	15	36	0	7	20	30	0	8	17	17	0	45	22	0	5	31	29	6	0	12	19	22	0	23	12	31	0	14	0	27	13	15	3	14	71	12	41	0	20	0	15	18	18	18	0	23	4	29	7	0	0	16	2	0	7	8	0	0	0	38	0	20	0	0	6	56	4	24
26	2	20	0	0	0	0	0	0	10	2	0	3	8	5	8	16	2	6	0	0	0	0	0	0	1	23	0	2	0	7	8	15	35	0	0	0	2	8	3	0	2	0	0	0	0	0	0	4	0	35	2	3	0	0	3	12	0	0	0	0	18	0	2	0	0	16	11	16	0	0	0	0	4	50	55	0	0	0	35	2	0	4	3	0	4	0	0	0	5	0	0	0	43	3	3	4	0	0	3	0	5	0	0	0	0	16	0	0	0	21	12	0	2	2
25	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	2	0	0	0	19	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	22	0	24	7	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	26	0	39	0	0	0	0	3	0	0	0	21	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
23	0	53	3	21	0	1	0	11	70	0	46	0	8	0	13	56	12	17	26	59	0	17	0	0	0	21	0	0	22	17	20	28	27	18	0	0	0	1	88	11	15	0	0	17	0	27	12	34	0	21	30	57	0	15	16	24	0	31	29	0	7	33	31	4	0	59	13	36	0	12	8	33	0	26	20	50	23	11	21	28	36	51	22	0	32	0	19	43	20	24	0	15	27	33	29	0	0	14	15	0	29	27	0	0	0	43	0	49	0	0	9	57	7	36
22	0	52	24	53	0	15	0	23	29	0	13	0	16	0	16	2	30	18	33	26	0	20	0	0	0	35	0	0	18	23	47	31	16	21	0	0	19	9	29	13	35	0	0	26	0	29	15	23	0	23	35	16	0	17	40	20	0	16	45	0	12	22	16	25	0	23	12	27	0	42	24	24	0	26	14	26	31	21	21	28	41	27	13	0	12	0	11	17	32	21	0	28	19	33	16	0	0	12	19	0	16	22	0	0	0	17	0	22	0	0	39	41	9	33
20	0	34	7	0	0	5	0	0	18	0	29	0	1	0	1	21	6	32	0	9	5	5	0	0	0	8	0	0	0	0	0	0	0	13	2	0	4	20	30	6	5	0	0	0	2	28	14	9	3	7	0	9	3	0	69	22	0	6	0	9	10	0	3	7	0	1	11	22	0	0	0	0	0	8	0	14	5	0	2	0	0	0	9	0	7	0	16	5	0	8	0	13	5	58	0	0	0	2	0	0	4	1	0	3	3	10	2	17	0	12	18	2	4	18
20	0	49	20	0	0	0	0	4	14	0	38	0	0	0	2	0	7	0	0	13	0	0	0	0	0	6	0	0	15	0	9	11	9	0	0	0	7	0	46	0	5	0	0	6	0	12	3	13	0	10	10	9	0	3	7	4	0	35	37	0	6	12	11	2	0	7	10	6	0	2	7	22	0	3	0	22	25	27	12	3	2	5	1	0	20	0	15	8	6	6	0	21	18	1	9	0	0	3	3	0	5	3	0	0	0	6	0	5	0	0	1	18	0	3
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	23	41	59	26	8	32	16	35	21	9	265	24	13	4	79	79	26	33	28	93	37	11	4	19	66	66	30	15	9	31	38	26	45	15	18	36	31	0	87	51	16	50	29	31	43	457	21	24	17	64	37	41	40	47	11	32	28	52	43	25	19	16	44	63	45	45	27	17	30	31	18	110	62	35	26	57	78	24	61	20	48	16	87	82	41	111	31	58	21	30	28	76	29	53	6	32	41	22	38	13	134	18	68	31	5	60	21	23	13	32	14	21	21	82
16	9	61	10	46	18	5	3	14	57	2	28	7	17	6	19	49	14	14	14	34	5	28	10	2	9	4	7	4	5	1	19	40	9	14	0	0	8	9	56	6	25	5	4	23	12	6	7	13	9	0	37	19	7	24	16	11	6	27	22	0	19	14	14	30	15	24	3	47	2	20	11	12	0	26	15	11	13	0	11	21	25	20	21	8	20	29	53	19	27	13	8	28	2	26	6	0	18	30	22	8	13	27	16	16	1	30	4	15	3	5	16	43	4	4
