SampleID	Groups
USAG4A	North America
USAG1C	North America
USAG2A	North America
USCG3B	North America
USCG3C	North America
USAT01C	North America
USAK1D	North America
USAK1C	North America
USAK1B	North America
USAK1A	North America
USAK2D	North America
USAK2C	North America
USAK2B	North America
USAK2A	North America
USAK3B	North America
USAK3A	North America
USHP1BG2	North America
USHP1BI	North America
USHP1BF2	North America
USMD1B	North America
USMD1A	North America
USOK06B	North America
USOK06C	North America
USMD2C	North America
USMD2B	North America
USOK07C	North America
USOK08A	North America
USOK07A	North America
USOK07B	North America
USCG4BC	North America
USTF1BB	North America
USHP1BD2	North America
USHP1BJ	North America
USHP1BK	North America
USTP1E	North America
USOK03F	North America
USTP1B	North America
USHI3A	North America
USHI2C	North America
USAT01B	North America
USOK08B	North America
USTP1C	North America
USVA1B	North America
USVA1A	North America
USTU1CB	North America
USTU1CA	North America
USTU1BC	North America
USTU1BB	North America
USHI1A	North America
USTU1DB	North America
USHS2C	North America
USCG3A	North America
USFT5C	North America
USTF1DC	North America
USTE4C	North America
USDA1G	North America
USDA1H	North America
USKP1MA	North America
USSF3B	North America
USSF3C	North America
USSF2C	North America
USSF3A	North America
USSF2A	North America
USSF2B	North America
USSF1B	North America
USSF1C	North America
USSD2BC	North America
USSF1A	North America
USAT01A	North America
MXDN1H	North America
MXEA1A	North America
MXDN1F	North America
MXDN1G	North America
MXDN1D	North America
MXDN1E	North America
MXDN1B	North America
MXDN1C	North America
CAON4BC	North America
MXDN1A	North America
USAK3C	North America
USCG5C	North America
USAK3D	North America
USTU1DA	North America
USAT02B	North America
USTU1CC	North America
USAT02C	North America
USAT03A	North America
USKP2M	North America
USKP2O	North America
USAT03B	North America
USKN3C	North America
USKP1I	North America
USKN3A	North America
USKN3B	North America
USKP2I	North America
USCT1B	North America
USKP1MB	North America
USMD4C	North America
USMD4B	North America
USMI1A	North America
USMD3B	North America
USMD3A	North America
USMD4A	North America
USMD3C	North America
USDC3B	North America
USMI2A	North America
USMI1C	North America
USDC3A	North America
USCB1AC	North America
USCB1AB	North America
USCB1BB	North America
USCB1BA	North America
USBT6B	North America
USBT6A	North America
USCB1AA	North America
USBT6C	North America
USCB1CA	North America
USCB1BC	North America
USRE2C	North America
USRE3A	North America
USRE2A	North America
USRE2B	North America
USRE1B	North America
USRE1C	North America
USPT4C	North America
USRE1A	North America
USPT4A	North America
USPT4B	North America
USTP1J	North America
USDA1A	North America
USCT1D	North America
USOK05C	North America
USCT1H	North America
USWS1AC	North America
USCT1I	North America
USWR1AB	North America
USWR1AA	North America
USVD1DC	North America
USVD1DB	North America
USVD1DA	North America
USDA1E	North America
USVD1CB	North America
USVD1CA	North America
USVD1BC	North America
USWS1BB	North America
USDA1F	North America
USWS1BA	North America
USDA1C	North America
USDA1D	North America
USWS1BC	North America
USWS1CC	North America
USWS1CB	North America
CAMT1C	North America
CAMT1B	North America
CAMT1A	North America
CAMT11C	North America
CAMT3A	North America
CAMT2C	North America
CAMT2B	North America
CAMT2A	North America
CAMT3C	North America
CAMT3B	North America
USRE4A	North America
USRE4B	North America
USRE3B	North America
USRE3C	North America
USRE5B	North America
USRE5C	North America
USRE4C	North America
USRE5A	North America
USRE6A	North America
USRE6B	North America
USOK01C	North America
USTP1I	North America
USOK01B	North America
USTP1H	North America
USTP1L	North America
USNO2C	North America
USTU1AB	North America
USNO2B	North America
USTU1AA	North America
USTU1BA	North America
USTU1AC	North America
USOK05B	North America
USOK05A	North America
USOK03I	North America
USOK03H	North America
USOK03K	North America
USOK03J	North America
USOK04A	North America
USOK03L	North America
USOK04C	North America
USOK04B	North America
USRT1A	North America
USRT1B	North America
USRT1C	North America
USRT2A	North America
USRT2B	North America
USRT2C	North America
USSD1AA	North America
USSD1AB	North America
USTF1CA	North America
USRE8B	North America
USAT10C	North America
USAT11A	North America
USAT08A	North America
USAT08B	North America
USAT08C	North America
USAT09A	North America
USAT09B	North America
USAT09C	North America
USAT10A	North America
USAT10B	North America
USDA1L	North America
USDA1K	North America
USDA1J	North America
USDA1I	North America
USDA2D	North America
USDA2C	North America
USDA2B	North America
USDA2A	North America
USDA2F	North America
USDA2E	North America
USTP1K	North America
USLC1C	North America
USLC2A	North America
USLC2B	North America
USLC2C	North America
USLA4B	North America
USLA4C	North America
USLC1A	North America
USLC1B	North America
USOK11B	North America
USOK11A	North America
USOK10C	North America
USOK10B	North America
USLC3A	North America
USLC3B	North America
USFT3C	North America
USOK09A	North America
USTU1DC	North America
USTP1M	North America
USTF1AA	North America
USWS1DB	North America
USWS1DA	North America
USHP1BC	North America
USHP1BB	North America
USHP1AJ	North America
USHP1AI2	North America
USHP1AI	North America
USHP1AH2	North America
USHP1BA	North America
USHP1AK2	North America
USHP1AK	North America
USHP1AJ2	North America
USVA4B	North America
USVA4C	North America
USVA3A	North America
USVA3B	North America
USVA3C	North America
USVA4A	North America
USVA1C	North America
USVA2A	North America
USVA2B	North America
USVA2C	North America
USCG1C	North America
USCG1B	North America
USCG1A	North America
USCB1DC	North America
USAT04A	North America
USCB1DA	North America
USCB1CC	North America
USCB1CB	North America
USWR1AC	North America
USAT03C	North America
USCG2B	North America
USCG2A	North America
USAT04C	North America
USAT04B	North America
USAT05B	North America
USAT07A	North America
USTF1CC	North America
USTF1CB	North America
USAT05C	North America
USHP1BF	North America
USCG5B	North America
USKN2C	North America
USKN2B	North America
USHP1BD	North America
USKN1BC	North America
USCG5A	North America
USKN1BA	North America
USKN1AC	North America
USKN1AB	North America
USKN1AA	North America
USJC2O	North America
USMI4C	North America
USMI3C	North America
USMI4A	North America
USMI3A	North America
USMI3B	North America
USMI2C	North America
USCT1C	North America
USNO1A	North America
USNO1B	North America
USBT4C	North America
USBT5A	North America
USBT4A	North America
USBT4B	North America
USBT3B	North America
USBT3C	North America
USBT2C	North America
USBT3A	North America
USCT1E	North America
USBT5B	North America
USBT5C	North America
USCT1G	North America
USCT1F	North America
USCG2C	North America
USRE7C	North America
USWR1BA	North America
USWR1BB	North America
USWR1BC	North America
USWR2AA	North America
USMI4B	North America
USWR2AC	North America
USWR2BA	North America
USWR2BB	North America
USWR2BC	North America
USWS1AA	North America
USVD1CC	North America
CAMT5B	North America
CAMT5C	North America
CAMT6A	North America
CAMT6B	North America
CAMT4A	North America
CAMT4B	North America
CAMT4C	North America
CAMT5A	North America
USMI2B	North America
CAMT6C	North America
CAMT7A	North America
USSD2AC	North America
USSD2AB	North America
USSD2AA	North America
USSD1CC	North America
USSD1CB	North America
USSD1CA	North America
USSD1BC	North America
USSD1BB	North America
USSD2BB	North America
USSD2BA	North America
USOP1AA	North America
USSF4B	North America
USOK11C	North America
USBT1C	North America
USBT1B	North America
USBT1A	North America
USAT12C	North America
USAT12B	North America
USAT12A	North America
USAT11C	North America
USAT11B	North America
CAMT11A	North America
USFT4A	North America
USFT3A	North America
USFT3B	North America
USFT2B	North America
USFT2C	North America
CAMT11B	North America
USBT2A	North America
USTP1F	North America
USTP1G	North America
USLC4C	North America
USLC4B	North America
USCG4BB	North America
USLC3C	North America
USMD2A	North America
USMD1C	North America
USAG2B	North America
USAG2C	North America
USHI2B	North America
USHI2A	North America
USHI1C	North America
USHI1B	North America
USAG4B	North America
USAG4C	North America
USFT5B	North America
USFT5A	North America
USOK02A	North America
USOK02B	North America
USTF1AC	North America
USTF1AB	North America
