199A	132A	026A	102A	184A	165A	074A	031A	150A	003A	151A	012A	127A	008A	030A	009A	131A	027A	139A	041A	156A	025A	142A	106A
0	9	0	0	0	0	2	6	0	0	0	2	2	0	2	0	0	0	4	0	0	9	0	0
11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4	2	0	0	20	2	0	3	0	0	0	8	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	6	4	0	0	0	0	0	2	1	0	2	0	0
0	0	0	6	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	28
0	0	0	2	0	0	2	0	4	0	2	0	0	0	0	0	0	0	0	12	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	0
0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
0	0	0	0	0	0	0	0	2	0	0	18	0	0	1	0	4	0	6	0	4	0	0	0
